id,dominio,zona,full_dominio,registered,data_readed,data_updated,expire,registrante_id,registrante_created,registrante_changed,first_dns
356712,mye,com.ar,mye.com.ar,2025-01-18 00:52:37.953543-03,2025-10-14 14:12:20.420436-03,2025-10-14 14:12:20.483432-03,2026-01-17 00:00:00-03,354081,2025-01-18 00:52:37.552057-03,2025-01-18 00:52:49.817304-03,ns-497.awsdns-62.com
809213,gmparquets,com.ar,gmparquets.com.ar,2024-11-14 20:31:36.087874-03,2025-11-19 13:42:49.71991-03,2025-11-19 13:42:49.761963-03,2026-11-14 00:00:00-03,123482,2014-06-22 00:00:00-03,2025-11-05 12:24:59.840002-03,ns14.wixdns.net
172537,drspelcman,com.ar,drspelcman.com.ar,2024-12-27 13:03:54.91422-03,2025-10-14 08:26:03.591827-03,2025-10-14 08:26:03.645031-03,2025-12-27 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.donweb.com
693770,grimaldiasociados,com.ar,grimaldiasociados.com.ar,2016-04-15 00:00:00-03,2025-11-19 09:02:33.190259-03,2025-11-19 09:02:33.23317-03,2026-04-15 00:00:00-03,82639,2016-01-05 00:00:00-03,2025-04-11 12:16:55.344419-03,ns1.donweb.com
684341,banknorwegian,com.ar,banknorwegian.com.ar,2015-03-06 00:00:00-03,2025-11-08 14:04:39.242337-03,2025-11-08 14:04:39.299386-03,2026-02-06 00:00:00-03,8481,2013-08-19 00:00:00-03,2025-11-14 15:34:08.26691-03,ns4-01.azure-dns.info
1491506,radioberaka,com.ar,radioberaka.com.ar,2023-06-30 08:07:40.073848-03,2025-10-04 11:44:55.135467-03,2025-10-04 11:44:55.135503-03,2026-06-30 00:00:00-03,39588,2013-08-21 00:00:00-03,2025-11-23 10:54:07.158874-03,koa.ns.cloudflare.com
689153,citypack,com.ar,citypack.com.ar,2020-04-06 13:49:00.890361-03,2025-11-05 07:06:21.720236-03,2025-11-05 07:06:21.755256-03,2026-04-06 00:00:00-03,81188,2013-10-23 00:00:00-03,2025-05-08 05:22:23.248438-03,yaguar.avnam.net
1301315,fmciudadpringles,com.ar,fmciudadpringles.com.ar,2022-11-11 13:48:15.979366-03,2025-11-19 19:09:33.465078-03,2025-11-19 19:09:33.500367-03,2026-11-11 00:00:00-03,278393,2014-06-02 00:00:00-03,2025-10-27 08:55:55.623598-03,ns3.hostmar.com
545642,telediariodigital,com.ar,telediariodigital.com.ar,2024-10-16 11:31:20.22348-03,2025-11-22 20:26:26.875445-03,2025-11-04 14:28:41.56433-03,2025-10-16 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.donweb.com
1256632,hc,ar,hc.ar,2024-03-14 18:52:18.699674-03,2025-11-18 09:47:47.740059-03,2025-11-18 09:47:47.799778-03,2026-03-14 00:00:00-03,303897,2024-02-09 12:20:13.013235-03,2025-11-20 16:17:58.940032-03,ar2.yogl.com
1491509,glitterexperience,ar,glitterexperience.ar,2023-06-30 20:50:14.331361-03,2025-10-04 11:46:00.506588-03,2025-10-04 11:46:00.506632-03,2026-06-30 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.donweb.com
1191870,integroseguridad,com.ar,integroseguridad.com.ar,2021-07-13 09:50:36.599636-03,2025-11-19 14:48:26.103164-03,2025-11-19 14:48:26.135029-03,2026-07-13 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.nuthost.com
582772,gerady,com.ar,gerady.com.ar,2018-11-14 14:34:01.09437-03,2025-11-19 21:15:10.604902-03,2025-11-19 21:15:10.643945-03,2026-11-14 00:00:00-03,30894,2018-11-14 14:34:00.896997-03,2025-10-31 15:10:45.134604-03,ns1.dns-parking.com
1190934,ngstoreofficial,com.ar,ngstoreofficial.com.ar,2025-08-27 20:50:26.505653-03,2025-11-20 22:36:50.043653-03,2025-11-20 22:36:50.116748-03,2026-08-27 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,byte.dns-parking.com
937218,seteinsa,com.ar,seteinsa.com.ar,2013-05-06 00:00:00-03,2025-11-24 12:26:48.109002-03,2025-11-24 12:26:48.157166-03,2025-12-06 00:00:00-03,370065,2020-12-01 09:43:52.112782-03,2024-11-22 04:37:15.973873-03,ns12.mardelhosting.net
787650,brandit,com.ar,brandit.com.ar,2025-01-16 17:52:59.449862-03,2025-11-21 09:39:06.333011-03,2025-11-21 09:39:06.385603-03,2026-01-16 00:00:00-03,61789,2013-08-22 00:00:00-03,2025-10-01 14:00:49.44611-03,ns9.hostmar.com
1473491,omnichannel,com.ar,omnichannel.com.ar,2016-08-02 18:09:51.772735-03,2025-11-23 22:10:55.77175-03,2025-10-01 00:01:16.860904-03,2025-12-02 00:00:00-03,340496,2024-08-05 10:47:17.993229-03,2025-08-05 04:48:52.439157-03,pns2.cloudns.net
1006886,richsargentina,com.ar,richsargentina.com.ar,2020-07-06 19:40:20.899583-03,2025-11-19 13:40:41.3754-03,2025-11-19 13:40:41.414827-03,2026-07-06 00:00:00-03,4402,2013-09-12 00:00:00-03,2025-11-21 22:16:13.260101-03,dns1.cscdns.net
551677,codigos,com.ar,codigos.com.ar,2014-11-19 00:00:00-03,2025-11-23 12:50:33.356822-03,2025-11-23 12:50:33.388075-03,2026-11-19 00:00:00-03,14610,2013-09-03 00:00:00-03,2025-11-03 14:27:30.456115-03,ns3.hostmar.com
535901,amazonvideo,com.ar,amazonvideo.com.ar,2015-11-13 00:00:00-03,2025-11-01 11:37:59.233359-03,2025-11-01 11:37:59.268745-03,2026-10-13 00:00:00-03,719,2013-08-20 00:00:00-03,2025-11-24 10:37:07.398592-03,nsusa.comlaude.net
650939,psicopedagogia-app,com.ar,psicopedagogia-app.com.ar,2008-03-04 00:00:00-02,2025-11-01 12:15:52.889412-03,2025-11-01 12:15:52.934699-03,2026-03-04 00:00:00-03,64323,2014-02-26 00:00:00-03,2025-02-18 12:57:55.651839-03,ns1.allytech.com
937485,fogar,com.ar,fogar.com.ar,2016-06-13 00:00:00-03,2025-11-24 12:34:34.23791-03,2025-11-24 12:34:34.288091-03,2026-02-13 00:00:00-03,358975,2025-01-21 11:07:24.582547-03,2025-01-21 11:09:54.331953-03,ns21.dattatec.com
770592,ingenieriaysoftware,com.ar,ingenieriaysoftware.com.ar,2003-05-20 00:00:00-03,2025-10-17 18:55:08.223826-03,2025-10-17 18:55:08.264472-03,2026-06-19 00:00:00-03,112320,2014-02-18 00:00:00-03,2025-06-20 12:58:34.420535-03,ns21.dattatec.com
1491518,pospos,ar,pospos.ar,2023-06-30 19:30:21.567839-03,2025-10-04 11:49:46.172882-03,2025-10-04 11:49:46.172917-03,2026-06-30 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.donweb.com
129514,licores,com.ar,licores.com.ar,2025-09-02 22:42:08.181142-03,2025-10-14 14:14:22.463495-03,2025-10-14 14:14:22.520047-03,2026-09-02 00:00:00-03,89505,2013-08-26 00:00:00-03,2025-09-22 21:47:38.307008-03,ns2.licores.com.ar
1473576,floridateniseventos,com.ar,floridateniseventos.com.ar,2024-11-21 07:18:10.282432-03,2025-11-23 21:04:03.720331-03,2025-11-23 21:04:03.749903-03,2026-11-21 00:00:00-03,334508,2024-10-27 16:57:37.393739-03,2025-11-03 18:46:26.315712-03,
183809,sucesionyventa,com.ar,sucesionyventa.com.ar,2025-06-14 16:14:31.294742-03,2025-10-14 14:53:00.679006-03,2025-10-14 14:53:00.726443-03,2026-06-14 00:00:00-03,167613,2024-02-14 20:05:52.502989-03,2025-06-14 16:14:28.779875-03,
1473580,casadecontencion,com.ar,casadecontencion.com.ar,2024-11-22 14:24:26.698493-03,2025-11-23 20:54:33.295042-03,2025-10-01 00:21:28.420201-03,2025-11-22 00:00:00-03,340520,2024-11-22 14:24:26.305573-03,2024-11-22 14:24:39.835997-03,ns1.mesi.com.ar
564494,iptelplay,com.ar,iptelplay.com.ar,2017-11-28 10:08:24.696104-03,2025-11-24 13:43:17.020655-03,2025-11-19 22:15:41.405314-03,2025-11-28 00:00:00-03,1230,2013-10-21 00:00:00-03,2025-10-06 09:44:21.301111-03,server2.powervt.com.ar
1316400,moodon,com.ar,moodon.com.ar,2023-02-27 23:39:35.940215-03,2025-04-23 09:40:33.905117-03,2025-04-23 09:40:33.943128-03,2026-02-27 00:00:00-03,283371,2019-08-01 20:58:42.66462-03,2025-09-20 21:16:31.997291-03,ns2-blues.netservicesargentina.com
841973,sexshop-de-bsas,com.ar,sexshop-de-bsas.com.ar,2014-08-20 00:00:00-03,2025-10-28 11:53:03.362355-03,2025-10-28 11:53:03.396243-03,2026-08-20 00:00:00-03,2086,2013-09-04 00:00:00-03,2025-10-17 17:51:28.132521-03,ns1.mimejorhosting.com
1491526,miguiaestrella,com.ar,miguiaestrella.com.ar,2023-07-01 18:35:00.01421-03,2025-10-04 11:53:32.051829-03,2025-10-04 11:53:32.051866-03,2026-07-01 00:00:00-03,285466,2023-04-01 23:29:58.580982-03,2025-06-21 02:12:15.885893-03,ns1.empretienda.net
1316402,onyxboox,com.ar,onyxboox.com.ar,2023-02-28 17:55:22.471538-03,2025-04-23 11:06:26.232351-03,2025-04-23 11:06:26.261582-03,2026-02-28 00:00:00-03,283151,2021-04-19 13:53:46.329019-03,2025-04-21 00:40:20.546481-03,
900676,lysol,com.ar,lysol.com.ar,2005-08-23 00:00:00-03,2025-11-19 18:49:23.49402-03,2025-11-19 18:49:23.542096-03,2026-08-23 00:00:00-03,12954,2014-02-05 00:00:00-03,2025-10-29 18:31:17.035292-03,ns4.markmonitor.com
861925,lucadamo,com.ar,lucadamo.com.ar,2002-09-04 00:00:00-03,2025-10-28 19:56:11.331765-03,2025-10-28 19:56:11.370409-03,2026-09-04 00:00:00-03,20985,2013-08-20 00:00:00-03,2025-08-20 19:53:26.380526-03,ns-cloud-e2.googledomains.com
539058,youssefian,com.ar,youssefian.com.ar,2006-10-25 00:00:00-03,2025-11-05 05:28:09.639429-03,2025-11-05 05:28:09.673664-03,2026-10-25 00:00:00-03,7168,2014-09-25 00:00:00-03,2025-10-02 14:12:10.707658-03,damon.ns.cloudflare.com
362702,ydo,com.ar,ydo.com.ar,2025-07-16 13:53:07.54736-03,2025-10-14 22:05:22.687159-03,2025-10-14 22:05:22.745434-03,2026-07-16 00:00:00-03,182258,2020-01-17 15:21:09.070888-03,2025-07-16 13:53:11.478741-03,ben1.netben.com.ar
563063,decristofaro,com.ar,decristofaro.com.ar,2009-11-26 00:00:00-03,2025-11-24 02:35:06.476976-03,2025-11-05 05:09:57.717946-03,2025-11-26 00:00:00-03,20450,2013-10-25 00:00:00-03,2024-11-11 11:37:57.085239-03,ns3.hostmar.com
1133880,usinaradio,com.ar,usinaradio.com.ar,2025-09-04 10:54:11.617923-03,2025-10-21 19:51:20.060693-03,2025-10-21 19:51:20.104661-03,2026-09-04 00:00:00-03,165075,2019-10-07 21:57:13.213524-03,2025-11-22 13:08:06.392999-03,ns1.tuhostingonline.com
564170,mayadevi,com.ar,mayadevi.com.ar,2018-11-20 10:04:06.796176-03,2025-11-23 13:31:56.007155-03,2025-11-23 13:31:56.038349-03,2026-11-20 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.donweb.com
1491530,klippan,ar,klippan.ar,2023-06-30 10:30:24.772878-03,2025-10-04 11:55:10.056003-03,2025-10-04 11:55:10.056039-03,2026-06-30 00:00:00-03,719,2013-08-20 00:00:00-03,2025-11-24 10:37:07.398592-03,dns04.ports.net
1097050,plascasil,ar,plascasil.ar,2019-09-26 08:36:36.507541-03,2025-11-19 19:40:39.040879-03,2025-11-19 19:40:39.071116-03,2026-09-26 00:00:00-03,209740,2014-08-01 00:00:00-03,2025-09-02 14:08:27.597417-03,
511706,poli-boxaca,com.ar,poli-boxaca.com.ar,2024-07-25 20:01:06.023667-03,2025-10-14 04:03:55.103759-03,2025-10-14 04:03:55.158745-03,2026-07-25 00:00:00-03,104835,2014-06-05 00:00:00-03,2025-07-17 13:53:56.490182-03,ns2.bluehost.com
899128,elcable,com.ar,elcable.com.ar,2018-09-05 17:18:09.704832-03,2025-10-30 19:35:18.96095-03,2025-10-30 19:35:18.999238-03,2026-09-05 00:00:00-03,19096,2016-11-23 09:41:46.839733-03,2025-10-30 18:30:22.027631-03,ns1.dns-parking.com
